data_inicio,data_fim,retorno
2015-07-01,2016-01-01,-0.2058
2016-01-01,2016-07-01,0.1755
2016-07-01,2017-01-01,0.1274
2017-01-01,2017-07-01,-0.0357
2017-07-01,2018-01-01,0.2149
2018-01-01,2018-07-01,0.0089
2018-07-01,2019-01-01,0.2577
2019-01-01,2019-07-01,0.166
2019-07-01,2020-01-01,0.0923
2020-01-01,2020-07-01,-0.0897
2020-07-01,2021-01-01,0.3278
2021-01-01,2021-07-01,0.0624
2021-07-01,2022-01-01,-0.046
2022-01-01,2022-07-01,0.0854
2022-07-01,2023-01-01,0.1583
2023-01-01,2023-07-01,0.1591
2023-07-01,2024-01-01,0.1612
2024-01-01,2024-07-01,0.0436
2024-07-01,2025-01-01,0.0149
2025-01-01,2025-07-01,-0.0469
2025-07-01,2026-01-01,0.1045
2026-01-01,2026-07-01,0.1172
